Catalyst_type,Surface area,Pore Volume,Catalyst_loading (g/L),Light_intensity (W),time (min),solution_pH,HA (mg/L),Anions,Ci (mg/L),Cf (mg/L),Efficiency (%)
2 wt% Pd-BFO,22.9,0.0046,1,25,180,5.45,0,without Anion,10,5.95,40.5
2 wt% Pd-BFO,22.9,0.0046,1,25,210,5.45,0,without Anion,10,5.4,46
2 wt% Pd-BFO,22.9,0.0046,1,25,240,5.45,0,without Anion,10,4.96,50.4
2 wt% Pd-BFO,22.9,0.0046,1,25,270,5.45,0,without Anion,10,4.48,55.2
2 wt% Pd-BFO,22.9,0.0046,1,55,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1,55,30,5.45,0,without Anion,10,8.94,10.6
2 wt% Pd-BFO,22.9,0.0046,1,55,60,5.45,0,without Anion,10,8.25,17.5
2 wt% Pd-BFO,22.9,0.0046,1,55,90,5.45,0,without Anion,10,7.57,24.3
2 wt% Pd-BFO,22.9,0.0046,1,55,120,5.45,0,without Anion,10,6.83,31.7
2 wt% Pd-BFO,22.9,0.0046,1,55,150,5.45,0,without Anion,10,6.15,38.5
2 wt% Pd-BFO,22.9,0.0046,1,55,180,5.45,0,without Anion,10,5.47,45.3
2 wt% Pd-BFO,22.9,0.0046,1,55,210,5.45,0,without Anion,10,4.76,52.4
2 wt% Pd-BFO,22.9,0.0046,1,55,240,5.45,0,without Anion,10,4.01,59.9
2 wt% Pd-BFO,22.9,0.0046,1,55,270,5.45,0,without Anion,10,3.32,66.8
2 wt% Pd-BFO,22.9,0.0046,1,55,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1,55,30,5.45,0,without Anion,10,8.91,10.9
2 wt% Pd-BFO,22.9,0.0046,1,55,60,5.45,0,without Anion,10,8.19,18.1
2 wt% Pd-BFO,22.9,0.0046,1,55,90,5.45,0,without Anion,10,7.63,23.7
2 wt% Pd-BFO,22.9,0.0046,1,55,120,5.45,0,without Anion,10,6.89,31.1
2 wt% Pd-BFO,22.9,0.0046,1,55,150,5.45,0,without Anion,10,6.23,37.7
2 wt% Pd-BFO,22.9,0.0046,1,55,180,5.45,0,without Anion,10,5.55,44.5
2 wt% Pd-BFO,22.9,0.0046,1,55,210,5.45,0,without Anion,10,4.83,51.7
2 wt% Pd-BFO,22.9,0.0046,1,55,240,5.45,0,without Anion,10,4.08,59.2
2 wt% Pd-BFO,22.9,0.0046,1,55,270,5.45,0,without Anion,10,3.37,66.3
2 wt% Pd-BFO,22.9,0.0046,1,55,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1,55,30,5.45,0,without Anion,10,8.9,11
2 wt% Pd-BFO,22.9,0.0046,1,55,60,5.45,0,without Anion,10,8.22,17.8
2 wt% Pd-BFO,22.9,0.0046,1,55,90,5.45,0,without Anion,10,7.6,24
2 wt% Pd-BFO,22.9,0.0046,1,55,120,5.45,0,without Anion,10,6.85,31.5
2 wt% Pd-BFO,22.9,0.0046,1,55,150,5.45,0,without Anion,10,6.2,38
2 wt% Pd-BFO,22.9,0.0046,1,55,180,5.45,0,without Anion,10,5.51,44.9
2 wt% Pd-BFO,22.9,0.0046,1,55,210,5.45,0,without Anion,10,4.8,52
2 wt% Pd-BFO,22.9,0.0046,1,55,240,5.45,0,without Anion,10,4.05,59.5
2 wt% Pd-BFO,22.9,0.0046,1,55,270,5.45,0,without Anion,10,3.3,67
2 wt% Pd-BFO,22.9,0.0046,0.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,0.5,105,30,5.45,0,without Anion,10,9.63,3.7
2 wt% Pd-BFO,22.9,0.0046,0.5,105,60,5.45,0,without Anion,10,9.31,6.9
2 wt% Pd-BFO,22.9,0.0046,0.5,105,90,5.45,0,without Anion,10,8.48,15.2
2 wt% Pd-BFO,22.9,0.0046,0.5,105,120,5.45,0,without Anion,10,7.42,25.8
2 wt% Pd-BFO,22.9,0.0046,0.5,105,150,5.45,0,without Anion,10,6.59,34.1
2 wt% Pd-BFO,22.9,0.0046,0.5,105,180,5.45,0,without Anion,10,5.83,41.7
2 wt% Pd-BFO,22.9,0.0046,0.5,105,210,5.45,0,without Anion,10,5.11,48.9
2 wt% Pd-BFO,22.9,0.0046,0.5,105,240,5.45,0,without Anion,10,4.25,57.5
2 wt% Pd-BFO,22.9,0.0046,0.5,105,270,5.45,0,without Anion,10,3.8,62
2 wt% Pd-BFO,22.9,0.0046,0.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,0.5,105,30,5.45,0,without Anion,10,9.31,6.9
2 wt% Pd-BFO,22.9,0.0046,0.5,105,60,5.45,0,without Anion,10,9.09,9.1
2 wt% Pd-BFO,22.9,0.0046,0.5,105,90,5.45,0,without Anion,10,8.5,15
2 wt% Pd-BFO,22.9,0.0046,0.5,105,120,5.45,0,without Anion,10,7.55,24.5
2 wt% Pd-BFO,22.9,0.0046,0.5,105,150,5.45,0,without Anion,10,6.85,31.5
2 wt% Pd-BFO,22.9,0.0046,0.5,105,180,5.45,0,without Anion,10,6.11,38.9
2 wt% Pd-BFO,22.9,0.0046,0.5,105,210,5.45,0,without Anion,10,5.26,47.4
2 wt% Pd-BFO,22.9,0.0046,0.5,105,240,5.45,0,without Anion,10,4.62,53.8
2 wt% Pd-BFO,22.9,0.0046,0.5,105,270,5.45,0,without Anion,10,4.13,58.7
2 wt% Pd-BFO,22.9,0.0046,0.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,0.5,105,30,5.45,0,without Anion,10,9.56,4.4
2 wt% Pd-BFO,22.9,0.0046,0.5,105,60,5.45,0,without Anion,10,9.22,7.8
2 wt% Pd-BFO,22.9,0.0046,0.5,105,90,5.45,0,without Anion,10,8.47,15.3
2 wt% Pd-BFO,22.9,0.0046,0.5,105,120,5.45,0,without Anion,10,7.49,25.1
2 wt% Pd-BFO,22.9,0.0046,0.5,105,150,5.45,0,without Anion,10,6.68,33.2
2 wt% Pd-BFO,22.9,0.0046,0.5,105,180,5.45,0,without Anion,10,5.94,40.6
2 wt% Pd-BFO,22.9,0.0046,0.5,105,210,5.45,0,without Anion,10,5.18,48.2
2 wt% Pd-BFO,22.9,0.0046,0.5,105,240,5.45,0,without Anion,10,4.39,56.1
2 wt% Pd-BFO,22.9,0.0046,0.5,105,270,5.45,0,without Anion,10,3.87,61.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,10,8.01,19.9
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,10,5.85,41.5
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,10,4.32,56.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,10,3.38,66.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,10,2.67,73.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,10,1.83,81.7
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,10,0.98,90.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,10,0.12,98.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,10,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,10,8.05,19.5
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,10,5.9,41
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,10,4.38,56.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,10,3.31,66.9
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,10,2.6,74
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,10,1.76,82.4
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,10,1.03,89.7
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,10,0.17,98.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,10,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,10,8.07,19.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,10,5.87,41.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,10,4.34,56.6
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,10,3.35,66.5
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,10,2.63,73.7
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,10,1.8,82
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,10,1.01,89.9
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,10,0.14,98.6
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,10,0,100
2 wt% Pd-BFO,22.9,0.0046,2,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,2,105,30,5.45,0,without Anion,10,8.87,11.3
2 wt% Pd-BFO,22.9,0.0046,2,105,60,5.45,0,without Anion,10,8.14,18.6
2 wt% Pd-BFO,22.9,0.0046,2,105,90,5.45,0,without Anion,10,7.21,27.9
2 wt% Pd-BFO,22.9,0.0046,2,105,120,5.45,0,without Anion,10,6.19,38.1
2 wt% Pd-BFO,22.9,0.0046,2,105,150,5.45,0,without Anion,10,5.32,46.8
2 wt% Pd-BFO,22.9,0.0046,2,105,180,5.45,0,without Anion,10,4.18,58.2
2 wt% Pd-BFO,22.9,0.0046,2,105,210,5.45,0,without Anion,10,3.03,69.7
2 wt% Pd-BFO,22.9,0.0046,2,105,240,5.45,0,without Anion,10,1.87,81.3
2 wt% Pd-BFO,22.9,0.0046,2,105,270,5.45,0,without Anion,10,0.79,92.1
2 wt% Pd-BFO,22.9,0.0046,2,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,2,105,30,5.45,0,without Anion,10,8.77,12.3
2 wt% Pd-BFO,22.9,0.0046,2,105,60,5.45,0,without Anion,10,8.04,19.6
2 wt% Pd-BFO,22.9,0.0046,2,105,90,5.45,0,without Anion,10,7.11,28.9
2 wt% Pd-BFO,22.9,0.0046,2,105,120,5.45,0,without Anion,10,6.08,39.2
2 wt% Pd-BFO,22.9,0.0046,2,105,150,5.45,0,without Anion,10,5.19,48.1
2 wt% Pd-BFO,22.9,0.0046,2,105,180,5.45,0,without Anion,10,4.09,59.1
2 wt% Pd-BFO,22.9,0.0046,2,105,210,5.45,0,without Anion,10,3.01,69.9
2 wt% Pd-BFO,22.9,0.0046,2,105,240,5.45,0,without Anion,10,1.92,80.8
2 wt% Pd-BFO,22.9,0.0046,2,105,270,5.45,0,without Anion,10,0.71,92.9
2 wt% Pd-BFO,22.9,0.0046,2,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,2,105,30,5.45,0,without Anion,10,8.84,11.6
2 wt% Pd-BFO,22.9,0.0046,2,105,60,5.45,0,without Anion,10,8,20
2 wt% Pd-BFO,22.9,0.0046,2,105,90,5.45,0,without Anion,10,7.16,28.4
2 wt% Pd-BFO,22.9,0.0046,2,105,120,5.45,0,without Anion,10,6.11,38.9
2 wt% Pd-BFO,22.9,0.0046,2,105,150,5.45,0,without Anion,10,5.25,47.5
2 wt% Pd-BFO,22.9,0.0046,2,105,180,5.45,0,without Anion,10,4.12,58.8
2 wt% Pd-BFO,22.9,0.0046,2,105,210,5.45,0,without Anion,10,3,70
2 wt% Pd-BFO,22.9,0.0046,2,105,240,5.45,0,without Anion,10,1.95,80.5
2 wt% Pd-BFO,22.9,0.0046,2,105,270,5.45,0,without Anion,10,0.68,93.2
2 wt% Pd-BFO,22.9,0.0046,2.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,2.5,105,30,5.45,0,without Anion,10,9.36,6.4
2 wt% Pd-BFO,22.9,0.0046,2.5,105,60,5.45,0,without Anion,10,8.41,15.9
2 wt% Pd-BFO,22.9,0.0046,2.5,105,90,5.45,0,without Anion,10,7.33,26.7
2 wt% Pd-BFO,22.9,0.0046,2.5,105,120,5.45,0,without Anion,10,6.27,37.3
2 wt% Pd-BFO,22.9,0.0046,2.5,105,150,5.45,0,without Anion,10,5.34,46.6
2 wt% Pd-BFO,22.9,0.0046,2.5,105,180,5.45,0,without Anion,10,4.29,57.1
2 wt% Pd-BFO,22.9,0.0046,2.5,105,210,5.45,0,without Anion,10,3.41,65.9
2 wt% Pd-BFO,22.9,0.0046,2.5,105,240,5.45,0,without Anion,10,2.36,76.4
2 wt% Pd-BFO,22.9,0.0046,2.5,105,270,5.45,0,without Anion,10,1.23,87.7
2 wt% Pd-BFO,22.9,0.0046,2.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,2.5,105,30,5.45,0,without Anion,10,9.17,8.3
2 wt% Pd-BFO,22.9,0.0046,2.5,105,60,5.45,0,without Anion,10,8.29,17.1
2 wt% Pd-BFO,22.9,0.0046,2.5,105,90,5.45,0,without Anion,10,7.36,26.4
2 wt% Pd-BFO,22.9,0.0046,2.5,105,120,5.45,0,without Anion,10,6.42,35.8
2 wt% Pd-BFO,22.9,0.0046,2.5,105,150,5.45,0,without Anion,10,5.47,45.3
2 wt% Pd-BFO,22.9,0.0046,2.5,105,180,5.45,0,without Anion,10,4.35,56.5
2 wt% Pd-BFO,22.9,0.0046,2.5,105,210,5.45,0,without Anion,10,3.56,64.4
2 wt% Pd-BFO,22.9,0.0046,2.5,105,240,5.45,0,without Anion,10,2.49,75.1
2 wt% Pd-BFO,22.9,0.0046,2.5,105,270,5.45,0,without Anion,10,1.33,86.7
2 wt% Pd-BFO,22.9,0.0046,2.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,2.5,105,30,5.45,0,without Anion,10,9.24,7.6
2 wt% Pd-BFO,22.9,0.0046,2.5,105,60,5.45,0,without Anion,10,8.35,16.5
2 wt% Pd-BFO,22.9,0.0046,2.5,105,90,5.45,0,without Anion,10,7.3,27
2 wt% Pd-BFO,22.9,0.0046,2.5,105,120,5.45,0,without Anion,10,6.39,36.1
2 wt% Pd-BFO,22.9,0.0046,2.5,105,150,5.45,0,without Anion,10,5.41,45.9
2 wt% Pd-BFO,22.9,0.0046,2.5,105,180,5.45,0,without Anion,10,4.33,56.7
2 wt% Pd-BFO,22.9,0.0046,2.5,105,210,5.45,0,without Anion,10,3.47,65.3
2 wt% Pd-BFO,22.9,0.0046,2.5,105,240,5.45,0,without Anion,10,2.42,75.8
2 wt% Pd-BFO,22.9,0.0046,2.5,105,270,5.45,0,without Anion,10,1.28,87.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,5,5,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,5,3.99,20.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,5,2.75,45
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,5,1.87,62.6
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,5,1.01,79.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,5,0.44,91.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,5,5,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,5,4.02,19.6
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,5,2.83,43.4
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,5,1.98,60.4
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,5,1.05,79
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,5,0.51,89.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,5,0.03,99.4
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,5,5,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,5,4.06,18.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,5,2.85,43
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,5,2.02,59.6
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,5,1.12,77.6
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,5,0.66,86.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,5,0.09,98.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,5,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,10,8.01,19.9
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,10,5.85,41.5
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,10,4.32,56.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,10,3.38,66.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,10,2.67,73.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,10,1.83,81.7
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,10,0.98,90.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,10,0.12,98.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,10,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,10,8.05,19.5
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,10,5.9,41
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,10,4.38,56.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,10,3.31,66.9
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,10,2.6,74
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,10,1.76,82.4
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,10,1.03,89.7
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,10,0.17,98.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,10,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,10,10,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,10,8.07,19.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,10,5.87,41.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,10,4.34,56.6
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,10,3.35,66.5
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,10,2.63,73.7
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,10,1.8,82
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,10,1.01,89.9
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,10,0.14,98.6
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,10,0,100
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,20,20,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,20,16.39,18.05
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,20,14.81,25.95
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,20,12.97,35.15
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,20,11.15,44.25
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,20,9.37,53.15
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,20,7.85,60.75
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,20,6.59,67.05
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,20,5.01,74.95
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,20,3.89,80.55
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,20,20,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,20,16.31,18.45
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,20,14.74,26.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,20,12.89,35.55
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,20,11.07,44.65
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,20,9.29,53.55
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,20,7.77,61.15
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,20,6.52,67.4
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,20,4.94,75.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,20,3.82,80.9
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,20,20,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,20,16.35,18.25
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,20,14.77,26.15
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,20,12.92,35.4
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,20,11.1,44.5
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,20,9.33,53.35
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,20,7.8,61
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,20,6.55,67.25
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,20,4.97,75.15
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,20,3.85,80.75
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,40,40,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,40,37.72,5.7
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,40,35.03,12.425
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,40,33.28,16.8
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,40,31.55,21.125
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,40,29.74,25.65
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,40,28.02,29.95
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,40,26.24,34.4
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,40,24.57,38.575
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,40,23.06,42.35
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,40,40,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,40,37.81,5.475
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,40,35.11,12.225
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,40,33.37,16.575
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,40,31.62,20.95
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,40,29.82,25.45
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,40,28.11,29.725
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,40,26.32,34.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,40,24.65,38.375
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,40,23.12,42.2
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,40,40,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,40,37.75,5.625
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,40,35.06,12.35
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,40,33.31,16.725
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,40,31.6,21
2 wt% Pd-BFO,22.9,0.0046,1.5,105,150,5.45,0,without Anion,40,29.77,25.575
2 wt% Pd-BFO,22.9,0.0046,1.5,105,180,5.45,0,without Anion,40,28.06,29.85
2 wt% Pd-BFO,22.9,0.0046,1.5,105,210,5.45,0,without Anion,40,26.28,34.3
2 wt% Pd-BFO,22.9,0.0046,1.5,105,240,5.45,0,without Anion,40,24.6,38.5
2 wt% Pd-BFO,22.9,0.0046,1.5,105,270,5.45,0,without Anion,40,23.09,42.275
2 wt% Pd-BFO,22.9,0.0046,1.5,105,0,5.45,0,without Anion,80,80,0
2 wt% Pd-BFO,22.9,0.0046,1.5,105,30,5.45,0,without Anion,80,77.87,2.6625
2 wt% Pd-BFO,22.9,0.0046,1.5,105,60,5.45,0,without Anion,80,76.09,4.8875
2 wt% Pd-BFO,22.9,0.0046,1.5,105,90,5.45,0,without Anion,80,74.42,6.975
2 wt% Pd-BFO,22.9,0.0046,1.5,105,120,5.45,0,without Anion,80,72.71,9.1125
